b1	1	b2	2
346.17	-4.1213	346.24	-0.12903
346.17	-3.8401	346.25	0.18986
346.18	-3.5619	346.25	0.50924
346.18	-3.2866	346.26	0.82948
346.19	-3.0138	346.26	1.1509
346.19	-2.7434	346.27	1.474
346.2	-2.4752	346.28	1.7991
346.2	-2.2088	346.28	2.1265
346.21	-1.944	346.29	2.4566
346.21	-1.6807	346.29	2.7899
346.22	-1.4186	346.3	3.1268
346.22	-1.1575	346.3	3.4676
346.23	-0.89713	346.31	3.8128
346.23	-0.63734	346.31	4.1628
346.24	-0.37788	346.32	4.5181
346.24	-0.11855	346.32	4.8792
346.25	0.14088	346.33	5.2464
346.25	0.40062	346.34	5.6204
346.26	0.66088	346.34	6.0016
346.26	0.92189	346.35	6.3906
346.27	1.1839	346.35	6.7879
346.27	1.447	346.36	7.1941
346.28	1.7116	346.36	7.6098
346.28	1.9777	346.37	8.0356
346.29	2.2458	346.37	8.4723
346.29	2.5159	346.38	8.9204
346.3	2.7883	346.38	9.3809
346.3	3.0633	346.39	9.8543
346.31	3.3411	346.4	10.342
346.31	3.622	346.4	10.844
346.32	3.9061	346.41	11.361
346.32	4.1938	346.41	11.895
346.33	4.4854	346.42	12.447
346.33	4.781	346.42	13.018
346.34	5.0811	346.43	13.608
346.34	5.3858	346.43	14.219
346.35	5.6955	346.44	14.853
346.35	6.0104	346.44	15.51
346.36	6.331	346.45	16.193
346.36	6.6575	346.46	16.902
346.37	6.9903	346.46	17.64
346.37	7.3297	346.47	18.408
346.38	7.6761	346.47	19.208
346.38	8.0299	346.48	20.043
346.39	8.3914	346.48	20.914
346.39	8.7611	346.49	21.825
346.4	9.1394	346.49	22.777
346.4	9.5268	346.5	23.773
346.41	9.9237	346.5	24.816
346.41	10.331	346.51	25.911
346.42	10.748	346.52	27.059
346.42	11.176	346.52	28.266
346.43	11.616	346.53	29.535
346.43	12.069	346.53	30.872
346.44	12.534	346.54	32.28
346.44	13.012	346.54	33.765
346.45	13.505	346.55	35.334
346.45	14.012	346.55	36.993
346.46	14.535	346.56	38.75
346.46	15.074	346.56	40.611
346.46	15.631	346.57	42.587
346.47	16.205	346.58	44.686
346.47	16.799	346.58	46.92
346.48	17.412	346.59	49.301
346.48	18.046	346.59	51.842
346.49	18.703	346.6	54.559
346.49	19.382	346.6	57.469
346.5	20.086	346.61	60.59
346.5	20.815	346.61	63.945
346.51	21.571	346.62	67.558
346.51	22.356	346.62	71.459
346.52	23.17	346.63	75.679
346.52	24.016	346.64	80.257
346.53	24.895	346.64	85.238
346.53	25.809	346.65	90.673
346.54	26.76	346.65	96.623
346.54	27.75	346.66	103.16
346.55	28.781	346.66	110.38
346.55	29.856	346.67	118.39
346.56	30.976	346.67	127.32
346.56	32.145	346.68	137.33
346.57	33.365	346.68	148.64
346.57	34.64	346.69	161.51
346.58	35.972	346.7	176.25
346.58	37.366	346.7	193.27
346.59	38.824	346.71	212.94
346.59	40.351	346.71	235.52
346.6	41.95	346.72	260.83
346.6	43.628	346.72	287.96
346.61	45.387	346.73	316.05
346.61	47.235	346.73	346.85
346.62	49.176	346.74	386.33
346.62	51.216	346.74	440.61
346.63	53.363	346.75	511.48
346.63	55.623	346.76	595.87
346.64	58.004	346.76	684.47
346.64	60.514	346.77	758.75
346.65	63.163	346.77	798.88
346.65	65.96	346.78	814.48
346.66	68.916	346.78	862.45
346.66	72.042	346.79	999.9
346.67	75.352	346.79	1234.1
346.67	78.858	346.8	1528.9
346.68	82.577	346.8	1813.7
346.68	86.524	346.81	1970.1
346.69	90.717	346.82	1872.9
346.69	95.175	346.82	1556.5
346.7	99.922	346.83	1312.7
346.7	104.98	346.83	1437.6
346.71	110.37	346.84	1975.8
346.71	116.13	346.84	2804.7
346.72	122.29	346.85	3766.9
346.72	128.88	346.85	4638.3
346.73	135.94	346.86	5038.8
346.73	143.51	346.86	4555.7
346.74	151.65	346.87	3300.6
346.74	160.4	346.88	2234.1
346.75	169.82	346.88	2315.8
346.75	179.99	346.89	3631.5
346.76	190.97	346.89	5637.1
346.76	202.84	346.9	7556.6
346.77	215.7	346.9	8370.4
346.77	229.66	346.91	7074.7
346.78	244.83	346.91	3881.8
346.78	261.36	346.92	922.94
346.79	279.38	346.92	329.22
346.79	299.07	346.93	2284.5
346.8	320.64	346.94	5629.3
346.8	344.31	346.94	8864.2
346.8	370.34	346.95	10226
346.81	399.03	346.95	8052.9
346.81	430.73	346.96	2659.1
346.82	465.84	346.96	-2569.1
346.82	504.82	346.97	-4246.1
346.83	548.23	346.97	-2083
346.83	596.7	346.98	2138
346.84	650.99	346.98	6285.3
346.84	712	346.99	8107.7
346.85	780.77	347	5592.4
346.85	858.58	347	-925.66
346.86	946.95	347.01	-7514
346.86	1047.7	347.01	-10225
346.87	1163	347.02	-8653.6
346.87	1295.7	347.02	-4605.4
346.88	1448.9	347.03	144.63
346.88	1626.9	347.03	4191.7
346.89	1834.6	347.04	5954.6
346.89	2078.6	347.04	3882.2
346.9	2366.7	347.05	-1668.8
346.9	2709.2	347.06	-7308
346.91	3119.2	347.06	-9662.4
346.91	3613.5	347.07	-8434.2
